sgd_id	yeast_rnaseq_1	yeast_rnaseq_2	yeast_rnaseq_3	yeast_stripeseq_unpooled_1	yeast_stripeseq_unpooled_2	yeast_stripeseq_unpooled_3	yeast_stripeseq_pooled_1	yeast_stripeseq_pooled_2	yeast_stripeseq_pooled_3
YDR119W	1247	1224	1190	50	62	76	103	72	102
YDR119W-A	382	263	296	31	31	34	51	39	55
YDR120C	1381	1300	1309	32	51	48	64	55	76
YDR121W	567	433	463	80	98	96	105	77	102
YDR122W	1480	1163	1209	44	50	81	86	51	108
YDR123C	254	228	227	16	22	14	14	16	19
YDR124W	103	96	101	8	10	9	9	6	4
YDR125C	190	158	150	35	40	61	107	58	86
YDR126W	183	133	149	12	18	17	7	10	12
YDR127W	3330	3134	3308	62	60	63	109	77	135
YDR128W	737	622	675	39	35	39	56	30	56
YDR129C	6844	6377	6378	162	144	189	177	160	222
YDR130C	453	366	350	77	69	69	84	55	81
YDR131C	391	359	403	13	11	7	21	10	14
YDR132C	377	342	346	14	28	20	34	20	29
YDR133C	6673	5556	5462	73	71	71	70	58	70
YDR135C	1542	1463	1470	65	61	63	64	63	88
YDR136C	18	9	5	1	0	2	3	2	1
YDR137W	1090	951	1008	32	44	39	58	33	63
YDR138W	677	584	584	26	20	29	50	39	63
YDR139C	519	407	423	19	25	36	37	27	29
YDR140W	347	315	315	59	67	58	45	35	34
YDR141C	1135	1077	1010	49	56	66	97	81	100
YDR142C	391	310	327	11	9	18	15	10	22
YDR143C	934	710	783	50	38	60	62	37	69
YDR144C	519	525	496	12	17	18	27	12	25
YDR145W	1203	1053	1114	144	163	173	133	129	155
YDR146C	630	530	573	23	16	22	26	18	26
YDR147W	454	407	448	21	20	25	32	22	26
YDR148C	1919	1627	1778	49	49	49	69	49	64
YDR149C	0	0	0	0	0	0	0	0	0
YDR150W	1356	1269	1297	131	118	139	180	155	216
YDR151C	1137	1061	1045	71	79	81	76	76	71
YDR152W	1482	1269	1264	200	199	251	311	203	273
YDR153C	1286	1052	1062	41	47	77	101	96	118
YDR154C	4134	3509	3587	19	26	12	22	12	14
YDR155C	11507	11003	10105	257	251	293	300	245	251
